priority,deadline_hours,task_bandwidth,task_skill_1,task_skill_2,task_skill_3,task_skill_4,task_skill_5,task_skill_6,task_skill_7,task_skill_8,task_skill_9,task_skill_10,emp_bandwidth,emp_skill_1,emp_skill_2,emp_skill_3,emp_skill_4,emp_skill_5,emp_skill_6,emp_skill_7,emp_skill_8,emp_skill_9,emp_skill_10,match_score,label_user_id,num_matching_skills
1,46,39,0,1,0,0,1,1,1,0,0,1,4,0,1,0,0,1,1,0,0,0,1,0.8,E077,4
2,15,19,0,0,1,1,0,1,1,0,1,0,46,0,1,1,0,0,1,0,1,1,0,0.6,E051,3
1,40,11,0,0,0,1,0,0,0,0,0,1,19,0,0,0,0,0,1,0,1,0,1,0.5,E069,1
3,9,40,0,1,1,1,0,0,0,0,1,1,23,1,1,0,0,1,1,0,1,0,0,0.2,E068,1
1,32,19,0,0,0,1,1,0,0,0,1,0,35,0,0,1,1,0,0,0,0,1,0,0.67,E080,2
2,10,9,1,0,0,1,0,0,0,1,0,0,28,0,1,1,0,0,0,0,1,1,0,0.33,E051,1
3,72,26,0,0,0,1,0,1,1,0,0,1,15,1,1,0,0,0,1,1,0,0,0,0.5,E020,2
3,57,28,1,0,0,0,0,0,0,0,1,1,20,1,0,0,1,0,0,0,0,1,0,0.67,E048,2
2,20,33,0,1,1,0,0,1,0,0,0,0,9,0,0,1,0,1,0,1,0,0,0,0.33,E086,1
1,50,13,0,1,1,0,1,0,1,0,0,1,37,0,0,1,0,0,0,1,1,1,1,0.6,E084,3
3,71,11,0,1,0,0,0,0,0,1,0,0,6,0,0,0,1,1,1,0,1,0,0,0.5,E090,1
2,10,37,1,0,0,0,1,0,0,0,0,0,24,1,0,0,1,0,1,0,1,0,1,0.5,E013,1
3,63,36,1,0,0,0,1,0,0,0,1,1,8,0,0,0,1,0,1,0,1,1,1,0.5,E067,2
2,64,14,0,0,0,0,0,1,1,1,0,0,47,0,0,0,0,1,0,1,0,0,1,0.33,E047,1
3,52,29,0,1,0,0,1,0,1,0,1,0,7,0,1,0,0,1,1,0,0,1,0,0.75,E067,3
3,5,22,0,0,0,0,0,0,1,0,1,1,30,1,1,0,0,0,1,1,1,0,0,0.33,E080,1
1,9,37,0,1,0,0,0,0,0,1,0,0,27,0,0,1,0,1,0,0,1,0,0,0.5,E034,1
2,64,12,0,1,0,0,0,0,1,1,1,0,9,1,0,0,0,0,0,0,1,1,0,0.5,E046,2
1,46,6,1,0,0,1,0,1,0,1,0,1,48,0,0,0,1,1,0,1,1,0,1,0.6,E041,3
3,9,12,1,1,0,1,1,1,0,0,0,0,15,1,0,1,0,1,0,0,0,1,0,0.4,E052,2
2,28,11,0,0,1,0,1,1,0,1,0,1,18,0,0,1,0,0,1,1,1,1,0,0.6,E007,3
3,13,7,1,1,0,0,0,1,0,0,1,0,35,1,1,0,0,0,1,0,0,0,0,0.75,E062,3
3,70,34,1,0,1,0,0,0,1,0,0,1,15,1,0,0,0,1,0,1,0,1,1,0.75,E004,3
1,44,17,0,1,0,1,0,1,0,0,0,0,28,0,0,1,0,0,1,0,0,0,0,0.33,E018,1
2,36,34,1,0,0,0,0,1,0,0,0,0,43,1,0,1,0,0,0,1,1,0,0,0.5,E005,1
1,56,21,0,0,1,0,0,0,0,1,0,1,34,0,0,0,1,1,0,0,1,1,0,0.33,E003,1
2,44,30,0,0,0,1,0,1,0,0,0,0,35,0,0,0,1,1,0,0,0,0,0,0.5,E073,1
3,41,8,0,0,0,0,1,0,1,0,0,0,14,1,0,0,0,0,0,1,1,1,0,0.5,E050,1
3,26,34,0,1,0,0,0,0,1,1,0,1,38,1,0,0,0,0,1,1,0,0,1,0.5,E061,2
3,42,36,1,0,0,0,0,1,0,1,1,0,18,0,0,1,1,0,1,0,0,1,0,0.5,E041,2
3,47,23,0,1,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,1,1,0.33,E085,1
2,64,6,1,0,0,1,1,1,0,0,1,0,49,1,0,0,0,0,0,1,0,0,0,0.2,E052,1
1,55,7,1,0,0,0,0,1,0,0,1,0,49,1,1,1,0,1,1,0,0,0,0,0.67,E013,2
2,56,15,1,1,1,0,0,0,1,0,1,0,35,0,0,0,0,0,0,1,0,0,1,0.2,E094,1
2,10,18,0,0,0,0,0,1,0,1,1,0,29,0,0,0,0,0,1,0,0,0,1,0.33,E041,1
3,71,11,0,1,0,0,1,0,1,0,0,1,4,0,0,0,0,1,0,1,0,0,1,0.75,E038,3
1,33,32,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.5,E074,1
1,37,19,0,1,0,0,0,1,0,0,0,0,17,0,0,0,1,1,1,0,0,0,0,0.5,E023,1
3,67,29,1,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0.5,E070,1
2,17,34,0,0,0,1,0,1,0,0,0,0,27,1,1,1,1,0,0,0,0,1,0,0.5,E005,1
1,18,14,1,1,0,0,0,0,0,0,1,1,11,1,0,0,0,0,0,0,0,0,1,0.5,E035,2
2,35,23,1,1,1,1,1,0,0,0,0,0,19,0,0,0,1,0,0,0,1,0,0,0.2,E089,1
1,47,14,1,0,0,1,0,0,0,1,0,1,33,1,0,1,0,0,0,1,1,1,0,0.5,E030,2
2,15,16,1,0,0,1,0,0,0,0,0,0,41,0,0,0,1,1,0,0,1,0,1,0.5,E001,1
2,13,8,0,0,1,0,1,0,0,0,0,0,35,0,0,1,1,0,0,0,1,0,0,0.5,E010,1
1,28,29,0,1,0,0,1,0,0,1,0,1,6,1,0,0,0,1,0,0,0,0,1,0.5,E093,2
1,13,27,0,0,1,0,0,1,1,1,0,0,25,0,1,1,0,1,0,1,0,0,0,0.5,E049,2
1,49,38,0,1,0,0,0,1,0,0,1,0,41,0,0,0,0,1,0,1,0,1,0,0.33,E030,1
